GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
techtalk,com.example.techtalk.domain,Presentation,32,21,0,0,14,9,9,3,9,3
techtalk,com.example.techtalk,TechtalkApplication,5,3,0,0,2,1,1,1,1,1
techtalk,com.example.techtalk,SecurityConfiguration,0,94,0,0,0,22,0,4,0,4
techtalk,com.example.techtalk,TechTalkConfiguration,0,9,0,0,0,3,0,2,0,2
techtalk,com.example.techtalk,LoadDatabase,0,43,0,0,0,5,0,3,0,3
techtalk,com.example.techtalk,AjaxAwareAuthenticationEntryPoint,19,4,2,0,5,2,2,1,1,1
techtalk,com.example.techtalk.service,TechTalkService,13,3,0,0,4,1,3,1,3,1
techtalk,util,UserNameLdapUtil,18,3,0,0,3,1,1,1,1,1
techtalk,com.example.techtalk.controllers,IndexController,51,8,0,0,15,2,4,1,4,1
techtalk,com.example.techtalk.dal,TechTalkDao,24,6,0,0,4,3,3,1,3,1
techtalk,com.example.techtalk.Exceptions,PresentationNotFoundAdvice,3,3,0,0,1,1,1,1,1,1
techtalk,com.example.techtalk.Exceptions,PresentationNotFoundException,11,0,0,0,2,0,1,0,1,0
